date,bhx_don_gia_chuan,winmart_don_gia_chuan
2026-07-04,,56100
2026-07-08,,56100
2026-07-09,,56100
2026-07-10,,56100
2026-07-11,,56100
2026-07-13,,56100
2026-07-14,,56100
2026-07-15,,56100
2026-07-18,,56100
2026-07-20,,56100
2026-07-22,,56100
